recommender,count,mean,std,min,q25,median,q75,max
Content (Genres + Rating bias=0),19971,0.11989523904494005,1.2288438056549393,-3.677501465389251,-0.6690232975869019,0.2204557882837319,0.9921992197388385,3.916579514180227
Content (Genres + Rating bias=10),19971,0.12346350406242147,1.2142921325051428,-3.7031626707590624,-0.6618320415436427,0.21449032017264358,0.9825045635882219,3.916579514180227
Content (Genres Only),19971,0.5955764243494929,1.3469667852262284,-3.597262640878851,-0.2778675774379118,0.6674829332102679,1.512032813745476,4.0
Item-Item Cosine k=3,19940,-0.04656995906833221,0.9978506993896179,-4.0,-0.6442683628207639,0.0,0.5985926211816528,4.0
User-User Cosine k=10,19940,-0.03151345393513723,0.9580071978857427,-4.0,-0.6187389132011689,0.02375545999205153,0.612160566706021,4.0
User-User Cosine k=25,19940,-0.032652621655489496,0.9465122234651482,-4.0,-0.6080936745167387,0.034958261747435326,0.6074862800652419,4.0
User-User Cosine k=3,19940,-0.027790301707017365,1.0226983268984349,-4.0,-0.6662859881313246,0.0008643086057733562,0.657221659763394,4.0
User-User Euclidean k=3,19940,0.06786958275266088,1.0648842042584432,-4.0,-0.5902741362057999,0.14430204332805374,0.8056278074824181,3.789802289201244
