recommender,fold_1,fold_2,fold_3,fold_4,fold_5
Content (Genres + Rating bias=0),1.2347,1.2066,1.1891,1.1905,1.1975
Content (Genres + Rating bias=10),1.2206,1.1954,1.1763,1.1796,1.1871
Content (Genres Only),1.4728,1.4441,1.4132,1.4196,1.4269
Item-Item Cosine k=3,0.9989,0.9891,0.9892,0.988,0.9913
User-User Cosine k=10,0.9585,0.9508,0.9473,0.9473,0.9485
User-User Cosine k=25,0.9471,0.9384,0.9339,0.9322,0.9338
User-User Cosine k=3,1.0231,1.0199,1.0189,1.017,1.0194
User-User Euclidean k=3,1.067,1.0594,1.0463,1.0565,1.0494
